,fromNode,toNode,weight,direction,fromAltName,toAltName
194,ABCB4,NDUFAF2,-0.677159706914173,undirected,ABCB4,NDUFAF2
195,ABCB4,NEK1,0.838798030994394,undirected,ABCB4,NEK1
196,ABCB4,NEK4,0.616076608287188,undirected,ABCB4,NEK4
197,ABCB4,NFATC3,0.801529392652202,undirected,ABCB4,NFATC3
198,ABCB4,NMB,0.530197883652514,undirected,ABCB4,NMB
199,ABCB4,NME5,0.674214656298978,undirected,ABCB4,NME5
200,ABCB4,NR1H3,0.743878119636787,undirected,ABCB4,NR1H3
201,ABCB4,NRN1L,0.732548040227946,undirected,ABCB4,NRN1L
202,ABCB4,NXPH4,0.711811852538515,undirected,ABCB4,NXPH4
203,ABCB4,OGFOD2,0.880770696869602,undirected,ABCB4,OGFOD2
204,ABCB4,OVOL1,0.741123158192965,undirected,ABCB4,OVOL1
205,ABCB4,PACSIN3,0.528597934845858,undirected,ABCB4,PACSIN3
206,ABCB4,PCCB,0.805842338088537,undirected,ABCB4,PCCB
207,ABCB4,PCGF6,0.937252559868668,undirected,ABCB4,PCGF6
208,ABCB4,PGM3,0.945161854164296,undirected,ABCB4,PGM3
209,ABCB4,PITPNM2,-0.701959530534374,undirected,ABCB4,PITPNM2
210,ABCB4,PLCL2,-0.628232897472698,undirected,ABCB4,PLCL2
211,ABCB4,PPP1R3B,0.723722566572875,undirected,ABCB4,PPP1R3B
212,ABCB4,PPTC7,-0.64817517435918,undirected,ABCB4,PPTC7
213,ABCB4,PRKD1,0.927546598396257,undirected,ABCB4,PRKD1
214,ABCB4,PRMT7,0.539369910673687,undirected,ABCB4,PRMT7
215,ABCB4,PRPF3,0.665967962130019,undirected,ABCB4,PRPF3
216,ABCB4,PSMA4,0.627978903494148,undirected,ABCB4,PSMA4
217,ABCB4,PSMB10,0.516130831359272,undirected,ABCB4,PSMB10
218,ABCB4,PSMD6,0.515796478045437,undirected,ABCB4,PSMD6
219,ABCB4,PTN,0.720814446460983,undirected,ABCB4,PTN
220,ABCB4,R3HDM2,-0.750629694969534,undirected,ABCB4,R3HDM2
221,ABCB4,RABGAP1L,-0.660406471616994,undirected,ABCB4,RABGAP1L
222,ABCB4,RDH16,0.791344228051446,undirected,ABCB4,RDH16
223,ABCB4,RELA,0.541880017370836,undirected,ABCB4,RELA
224,ABCB4,RERE,-0.542990576679001,undirected,ABCB4,RERE
225,ABCB4,RFT1,0.956255489421044,undirected,ABCB4,RFT1
226,ABCB4,RFTN2,0.91252510048446,undirected,ABCB4,RFTN2
227,ABCB4,RILPL2,0.768714840187905,undirected,ABCB4,RILPL2
228,ABCB4,RTN1,-0.814264730375916,undirected,ABCB4,RTN1
229,ABCB4,SBNO1,-0.593458809070244,undirected,ABCB4,SBNO1
230,ABCB4,SDCCAG8,-0.643134285192916,undirected,ABCB4,SDCCAG8
231,ABCB4,SEC11A,0.946375659459027,undirected,ABCB4,SEC11A
232,ABCB4,SEMA6D,0.505068404433796,undirected,ABCB4,SEMA6D
233,ABCB4,SEPT3,-0.867209141968823,undirected,ABCB4,SEPT3
234,ABCB4,SERPING1,0.919646298652592,undirected,ABCB4,SERPING1
235,ABCB4,SETD6,0.806837568283454,undirected,ABCB4,SETD6
236,ABCB4,SETD8,0.553720961679713,undirected,ABCB4,SETD8
237,ABCB4,SFXN2,0.6422880540482,undirected,ABCB4,SFXN2
238,ABCB4,SHMT2,0.91573598847569,undirected,ABCB4,SHMT2
239,ABCB4,SIPA1,0.670358721372334,undirected,ABCB4,SIPA1
240,ABCB4,SLC12A4,0.868053501033684,undirected,ABCB4,SLC12A4
241,ABCB4,SLC39A8,0.713973264633721,undirected,ABCB4,SLC39A8
242,ABCB4,SLC45A1,-0.821703388294383,undirected,ABCB4,SLC45A1
243,ABCB4,SMPD3,-0.853323913067794,undirected,ABCB4,SMPD3
244,ABCB4,SNAP91,-0.541905639264586,undirected,ABCB4,SNAP91
245,ABCB4,SPCS1,0.743982985977197,undirected,ABCB4,SPCS1
246,ABCB4,SREBF2,-0.666526966044817,undirected,ABCB4,SREBF2
247,ABCB4,ST13,0.608751399087395,undirected,ABCB4,ST13
248,ABCB4,STAB1,0.738152974263613,undirected,ABCB4,STAB1
249,ABCB4,STAC3,0.724275031751712,undirected,ABCB4,STAC3
250,ABCB4,STAMBP,0.810148270211096,undirected,ABCB4,STAMBP
251,ABCB4,STAT6,0.758201993442157,undirected,ABCB4,STAT6
252,ABCB4,TARS2,0.798663283595574,undirected,ABCB4,TARS2
253,ABCB4,TBC1D2,0.786936736836875,undirected,ABCB4,TBC1D2
254,ABCB4,TBC1D5,0.814886510424054,undirected,ABCB4,TBC1D5
255,ABCB4,TCF20,-0.683458583059455,undirected,ABCB4,TCF20
256,ABCB4,TCHP,0.862846850251396,undirected,ABCB4,TCHP
257,ABCB4,TCTN1,0.955219712544834,undirected,ABCB4,TCTN1
258,ABCB4,TDRD9,0.682437587104431,undirected,ABCB4,TDRD9
259,ABCB4,TEF,0.649458629780251,undirected,ABCB4,TEF
260,ABCB4,TKT,-0.656150313519272,undirected,ABCB4,TKT
261,ABCB4,TM6SF2,0.733610029900503,undirected,ABCB4,TM6SF2
262,ABCB4,TMEM161B,0.761237580517661,undirected,ABCB4,TMEM161B
263,ABCB4,TMEM180,-0.877232139817727,undirected,ABCB4,TMEM180
264,ABCB4,TMEM194A,0.869127032339948,undirected,ABCB4,TMEM194A
265,ABCB4,TMEM219,0.50319963634603,undirected,ABCB4,TMEM219
266,ABCB4,TMX2,0.821486418840652,undirected,ABCB4,TMX2
267,ABCB4,TMX2-CTNND1,0.671452945849153,undirected,ABCB4,TMX2-CTNND1
268,ABCB4,TNFRSF13C,0.830163813618408,undirected,ABCB4,TNFRSF13C
269,ABCB4,TOB2,0.845992871352226,undirected,ABCB4,TOB2
270,ABCB4,TRIM8,0.727763490604485,undirected,ABCB4,TRIM8
271,ABCB4,TRPV4,0.770055503252322,undirected,ABCB4,TRPV4
272,ABCB4,TSNAXIP1,0.752299545951601,undirected,ABCB4,TSNAXIP1
273,ABCB4,VPS45,0.82462070366202,undirected,ABCB4,VPS45
274,ABCB4,WBP2NL,0.622167762108154,undirected,ABCB4,WBP2NL
275,ABCB4,WDR73,0.644082110469997,undirected,ABCB4,WDR73
276,ABCB4,WDR82,-0.628546450869722,undirected,ABCB4,WDR82
277,ABCB4,WHAMM,0.872062365813489,undirected,ABCB4,WHAMM
278,ABCB4,WHSC1L1,-0.570792828374457,undirected,ABCB4,WHSC1L1
279,ABCB4,XRCC3,0.826045858919845,undirected,ABCB4,XRCC3
280,ABCB4,ZBTB37,-0.605883255022424,undirected,ABCB4,ZBTB37
281,ABCB4,ZNF19,0.719236759639566,undirected,ABCB4,ZNF19
282,ABCB4,ZNF281,-0.646573571656682,undirected,ABCB4,ZNF281
283,ABCB4,ZNF536,0.938130685239533,undirected,ABCB4,ZNF536
284,ABCB4,ZNF823,0.772421408552219,undirected,ABCB4,ZNF823
285,ACO2,ACP2,0.701414314059689,undirected,ACO2,ACP2
286,ACO2,ACTR1A,-0.695175934486227,undirected,ACO2,ACTR1A
287,ACO2,ADAMTSL4,0.733925869838473,undirected,ACO2,ADAMTSL4
288,ACO2,ALDOA,0.820994358583891,undirected,ACO2,ALDOA
289,ACO2,ALPK3,0.855988591852092,undirected,ACO2,ALPK3
290,ACO2,ANKRD13A,0.503442536988503,undirected,ACO2,ANKRD13A
291,ACO2,ANKRD45,-0.533848086277554,undirected,ACO2,ANKRD45
292,ACO2,ANXA9,0.761316175146084,undirected,ACO2,ANXA9
293,ACO2,APOPT1,0.833772775946017,undirected,ACO2,APOPT1
294,ACO2,ARHGAP40,0.593372061004088,undirected,ACO2,ARHGAP40
295,ACO2,ARTN,0.715888033209225,undirected,ACO2,ARTN
296,ACO2,ATF4,-0.722685188613229,undirected,ACO2,ATF4
297,ACO2,ATG13,-0.908455333175164,undirected,ACO2,ATG13
298,ACO2,ATP6V0B,0.616255594121474,undirected,ACO2,ATP6V0B
299,ACO2,BAG5,-0.708497993459328,undirected,ACO2,BAG5
300,ACO2,BANK1,0.925678319656538,undirected,ACO2,BANK1
301,ACO2,C10orf32,0.785672810506222,undirected,ACO2,C10orf32
302,ACO2,C11orf31,0.526733706304862,undirected,ACO2,C11orf31
303,ACO2,C11orf49,0.605477730011209,undirected,ACO2,C11orf49
304,ACO2,C12orf76,0.610329903611291,undirected,ACO2,C12orf76
305,ACO2,C14orf2,0.693992541673443,undirected,ACO2,C14orf2
306,ACO2,C1orf54,0.845921833751904,undirected,ACO2,C1orf54
307,ACO2,C2orf47,0.666870610685933,undirected,ACO2,C2orf47
308,ACO2,CACNB2,0.563173734295423,undirected,ACO2,CACNB2
