"","geneIDs","moduleColor"
"271","MSRA","blue"
"272","MUSTN1","blue"
"273","MYO15A","blue"
"274","MYO1A","blue"
"275","NAB2","blue"
"277","NCAN","blue"
"278","NCK1","blue"
"279","NDFIP2","blue"
"280","NDRG4","blue"
"281","NDUFA4L2","blue"
"282","NDUFA6","blue"
"283","NDUFAF2","blue"
"284","NEK1","blue"
"285","NEK4","blue"
"286","NFATC3","blue"
"288","NHP2L1","blue"
"289","NISCH","blue"
"290","NLGN4X","blue"
"291","NMB","blue"
"292","NME5","blue"
"293","NMUR2","blue"
"294","NOSIP","blue"
"295","NR1H3","blue"
"297","NRN1L","blue"
"298","NSUN6","blue"
"299","NT5C2","blue"
"300","NT5DC2","blue"
"301","NUDT1","blue"
"302","NUTF2","blue"
"303","NXPH4","blue"
"304","OGFOD2","blue"
"305","OPCML","blue"
"306","OSBPL3","blue"
"307","OTOL1","blue"
"308","OVOL1","blue"
"309","PACSIN3","blue"
"310","PAK6","blue"
"311","PBRM1","blue"
"313","PCGF6","blue"
"314","PCNXL3","blue"
"315","PDCD11","blue"
"316","PDE4B","blue"
"317","PGM3","blue"
"318","PHF5A","blue"
"321","PLA2G15","blue"
"322","PLCB2","blue"
"323","PLCL1","blue"
"324","PLCL2","blue"
"325","PLEKHO1","blue"
"326","PMM1","blue"
"327","PPAPDC1B","blue"
"328","PPM1M","blue"
"329","PPP1CC","blue"
"330","PPP1R13B","blue"
"331","PPP1R3B","blue"
"332","PPP2R2A","blue"
"333","PPP2R3A","blue"
"334","PPP4C","blue"
"335","PPTC7","blue"
"337","PRKD1","blue"
"338","PRMT1","blue"
"339","PRMT7","blue"
"340","PRPF3","blue"
"341","PRSS35","blue"
"342","PSD3","blue"
"343","PSMA4","blue"
"344","PSMB10","blue"
"345","PSMD6","blue"
"346","PTK2B","blue"
"348","PTPRF","blue"
"351","RABGAP1L","blue"
"352","RAD9B","blue"
"356","RBM26","blue"
"357","RBX1","blue"
"358","RC3H1","blue"
"359","RDH16","blue"
"360","REEP2","blue"
"361","RELA","blue"
"362","RERE","blue"
"363","RFT1","blue"
"364","RFTN2","blue"
"366","RILPL2","blue"
"367","RIMS1","blue"
"368","RNF112","blue"
"369","RPRD2","blue"
"370","RPS19BP1","blue"
"372","RRAS","blue"
"373","RTN1","blue"
"374","RUNDC3B","blue"
"375","RWDD2A","blue"
"379","SDCCAG8","blue"
"380","SEC11A","blue"
"381","SEMA3G","blue"
"382","SEMA6C","blue"
"383","SEMA6D","blue"
"384","SEPT3","blue"
"385","SERPINC1","blue"
"386","SERPING1","blue"
"387","SETD6","blue"
"388","SETD8","blue"
"389","SETDB1","blue"
"390","SF3B1","blue"
"391","SFMBT1","blue"
"392","SFXN2","blue"
"393","SHMT2","blue"
"394","SIPA1","blue"
"396","SLC25A17","blue"
"397","SLC32A1","blue"
"398","SLC38A7","blue"
"399","SLC39A8","blue"
"400","SLC45A1","blue"
"402","SLC6A11","blue"
"403","SLC6A9","blue"
"404","SLC7A6","blue"
"405","SLC7A6OS","blue"
"406","SMG6","blue"
"407","SMPD3","blue"
"408","SNAP91","blue"
"409","SNX19","blue"
"410","SNX8","blue"
